1	2001-01-01 08:00:00.0000000	2001-01-01 09:00:00.0000000
2	2001-01-01 09:00:00.0000000	2001-01-01 10:00:00.0000000
3	2001-01-01 10:00:00.0000000	2001-01-01 11:00:00.0000000
4	2001-01-01 11:00:00.0000000	2001-01-01 12:00:00.0000000
5	2001-01-01 12:00:00.0000000	2001-01-01 13:00:00.0000000
6	2001-01-01 13:00:00.0000000	2001-01-01 14:00:00.0000000
7	2001-01-01 14:00:00.0000000	2001-01-01 15:00:00.0000000
8	2001-01-01 15:00:00.0000000	2001-01-01 16:00:00.0000000
9	2001-01-01 16:00:00.0000000	2001-01-01 17:00:00.0000000
10	2001-01-01 17:00:00.0000000	2001-01-01 18:00:00.0000000
11	2001-01-01 18:00:00.0000000	2001-01-01 19:00:00.0000000
12	2001-01-01 19:00:00.0000000	2001-01-01 20:00:00.0000000
